,online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),menu_item,listed_in(type)
113,0,0,,0,1,4,150.0,9088,Delivery
114,0,0,,0,1,7,300.0,9088,Delivery
115,0,0,,0,1,5,200.0,9088,Delivery
116,0,0,,0,1,6,150.0,9088,Delivery
117,0,0,,0,1,4,150.0,9088,Delivery
118,0,0,,0,1,5,250.0,9088,Delivery
119,0,0,3.1,30,1,7,1000.0,9088,Delivery
120,1,0,4.1,201,1,5,300.0,6208,Delivery
121,0,0,3.3,7,1,5,200.0,9088,Delivery
122,0,0,3.1,6,1,5,100.0,9088,Delivery
123,0,0,3.3,17,1,5,200.0,9088,Delivery
124,0,0,2.9,25,1,4,200.0,9088,Delivery
125,0,0,,0,1,3,400.0,9088,Delivery
126,0,0,,0,1,5,350.0,9088,Delivery
127,0,0,3.3,8,1,3,100.0,9088,Delivery
128,0,0,,0,1,5,150.0,9088,Delivery
129,0,0,,0,1,5,150.0,9088,Delivery
130,0,0,,0,1,6,200.0,9088,Delivery
131,0,0,,0,1,5,100.0,9088,Delivery
132,0,0,,0,1,5,400.0,9088,Delivery
133,0,0,,0,1,7,200.0,9088,Delivery
134,0,0,,0,1,7,150.0,9088,Delivery
135,0,0,,0,1,6,400.0,9088,Delivery
136,0,0,,0,1,5,150.0,9088,Delivery
137,0,0,,0,1,5,250.0,9088,Delivery
138,0,0,,0,1,5,250.0,9088,Delivery
139,0,0,,0,1,5,150.0,9088,Delivery
140,0,0,,0,1,7,200.0,9088,Delivery
141,0,0,,0,1,7,350.0,9088,Delivery
142,0,0,,0,1,5,300.0,9088,Delivery
143,0,0,,0,1,6,100.0,9088,Delivery
144,0,0,,0,1,5,150.0,9088,Delivery
145,1,0,4.0,771,1,1,450.0,8149,Delivery
146,0,0,3.0,98,1,7,800.0,9088,Delivery
147,1,0,3.9,47,4,5,200.0,4850,Delivery
148,1,1,4.1,175,32,1,500.0,4813,Delivery
149,1,0,3.8,58,1,5,300.0,7132,Delivery
150,1,0,3.8,540,4,1,650.0,9088,Delivery
151,1,0,3.8,124,49,5,400.0,9088,Delivery
152,1,0,4.1,340,1,6,500.0,9088,Delivery
153,1,0,3.8,505,1,5,450.0,9088,Delivery
154,0,0,,0,1,5,100.0,9088,Delivery
155,1,0,4.1,438,32,4,500.0,9088,Delivery
156,1,0,3.7,264,57,1,750.0,9088,Delivery
157,1,0,3.9,169,49,7,150.0,9088,Delivery
158,1,0,3.0,67,49,5,250.0,9088,Delivery
159,1,0,3.7,97,32,5,350.0,9088,Delivery
160,1,0,3.3,12,4,6,300.0,9088,Delivery
161,1,0,3.3,12,1,5,300.0,5343,Delivery
162,1,0,3.6,195,32,1,800.0,9088,Delivery
163,1,0,3.3,13,4,7,300.0,9088,Delivery
164,1,0,4.6,228,32,0,400.0,9088,Delivery
165,1,0,4.1,70,4,5,150.0,3110,Delivery
166,1,1,4.1,364,32,1,1200.0,9088,Delivery
167,1,0,3.7,107,4,7,150.0,9088,Delivery
168,1,0,3.2,167,49,5,300.0,7523,Delivery
169,1,0,4.0,115,1,7,400.0,9088,Delivery
170,1,0,3.7,27,1,6,400.0,9088,Delivery
171,1,0,3.5,57,1,5,200.0,9088,Delivery
172,1,0,3.8,120,1,5,250.0,9088,Delivery
173,1,0,3.8,15,4,7,400.0,9088,Delivery
174,1,0,4.2,64,4,5,500.0,9088,Delivery
175,1,0,3.6,66,1,5,150.0,9088,Delivery
176,1,0,3.0,290,1,5,450.0,9088,Delivery
177,1,0,4.1,233,4,5,200.0,9088,Delivery
178,1,0,3.8,115,49,5,250.0,9088,Delivery
179,1,0,3.1,119,1,1,700.0,9088,Delivery
180,1,1,3.9,291,32,0,650.0,4946,Delivery
181,1,0,4.5,155,32,7,300.0,9088,Delivery
182,1,0,4.1,305,49,1,700.0,9088,Delivery
183,1,0,3.6,46,1,5,500.0,9088,Delivery
184,1,0,3.5,45,49,5,350.0,9088,Delivery
185,1,0,3.9,38,1,4,150.0,9088,Delivery
186,1,0,3.9,441,1,5,400.0,9088,Delivery
187,1,0,3.9,25,4,5,100.0,5667,Delivery
188,1,0,4.3,630,32,5,200.0,9088,Delivery
189,1,0,3.8,25,49,5,150.0,1289,Delivery
190,1,0,3.9,160,49,5,300.0,9088,Delivery
191,1,0,4.2,287,1,5,350.0,9088,Delivery
192,1,0,3.6,11,4,5,100.0,262,Delivery
193,1,0,4.1,402,1,0,500.0,9088,Delivery
194,1,0,3.8,469,4,1,750.0,9088,Delivery
195,1,0,3.3,511,49,1,550.0,9088,Delivery
196,1,0,3.9,57,1,5,200.0,4901,Delivery
197,1,0,3.4,14,1,5,300.0,9088,Delivery
198,1,0,3.9,264,1,5,200.0,9088,Delivery
199,1,0,3.0,62,1,0,400.0,9088,Delivery
200,1,0,3.8,693,1,1,750.0,9088,Delivery
201,1,0,3.8,242,32,1,650.0,9088,Delivery
202,1,0,3.6,27,4,4,250.0,9088,Delivery
203,1,0,4.1,163,4,5,500.0,9088,Delivery
204,1,0,4.2,191,4,5,250.0,7130,Delivery
205,1,0,3.5,32,1,5,150.0,9088,Delivery
206,1,0,2.5,247,1,1,500.0,9088,Delivery
207,1,1,4.1,2339,32,1,1500.0,9088,Delivery
208,1,0,4.1,337,32,5,300.0,9088,Delivery
209,1,0,3.9,135,1,1,800.0,9088,Delivery
